title,content,augmented_title,augmented_content
Fantastic service,"Very good service, everything explained well to me and friendly staff.",['Wild service'],"['with good service, everything explained only to me and friendly staff.']"
Perfect experience and he was helpful…,Perfect experience and Joe was helpful to the fullest!,['Perfect experience and he was helpful …'],['perfect experience if joe was impressed to the fullest!']
Ethan,Ethan - Very good knowledge advised on other products but not pushy,['Ethan'],['ethan - very good knowledge like liking other products but not pushy']
Very poor start wont be using them,"Everything for broadband was booked online with confirmation mails. On the installation day which was 2 weeks later no confirmation, no one came. Called customer service- just to be told account is empty and order number cant be found. After being on hold; was told my credit check didn't pass. They couldn’t be bothered to notify me just left me with no internet, on the top of a lie as my credit check always pass and they probably haven’t done it correctly or made it up as an excuse.",['Very poor start wont be use them'],"[""everything for delivery was delivered online with confirmation machines. on the installation day which was 2 weeks later no customers, no one came. called customer service - just to be told account is empty and order information cant be found. after being on hold ; was told my credit check didn't pass. they couldn ’ t be bothered to notify me just left me with clear internet, like the top of a wall as my credit check always pass and they probably haven ’ t done it correctly or made it manifest as some excuse.""]"
Stephen was verry helpful setting up my…,Stephen was verry helpful setting up my new broadband package,['Stephen was verry helpful set up my …'],['stephen harold verry helpful setting up my new broadband project']
Disgusting discrimination from vodaphone,"As you can see from my previous reviews the answer I have from Vodafone is a DISGRACE . I have been told to get in touch by social media. I informed them I font have social media and the response is staggering ""use a friend or family member then"" My parents are dead and I would nit dream of dragging my friends into a Vodafone dispute . I sm being discriminated against for not having social media.",['Disgusting discrimination from vodaphone'],"['as you can see from hearing previous reviews the answer i have for vodafone is a disgrace. please am been told better get in check by official media. i informed shareholders i font use social media and the response is staggering "" use a friend or family member then "" my parents are dead and i would nit dream of dragging my friends into a vodafone dispute. i sm being discriminated against for not having social media.']"
I visited Vodafone in Orpington high…,"I visited Vodafone in Orpington high street to get my PAT code because I wanted to change provider; I found a much better deal elsewhere. As soon as I walked in I was reassured by Edward that he wouldn't be long and was just finishing up with a customer. I immediately felt visible, so rare these days. Edward listened to my concerns and asked if he could see if he could find a deal with Vodafone for me. He listened to my requirements, looked at my usage and worked hard to find a deal which suited me and my budget. I left with a brand new phone and continued my long standing relationship with Vodafone. The customer service I received from Edward was exemplary.",['I visited Vodafone in Orpington high …'],"[""i visited vodafone in orpington high street to get my pat code because i wanted to change provider ; i found another much better deal elsewhere. as soon thereafter i walked in i was reassured by edward that he wouldn't be long and was just finishing up with a customer. i immediately grew visible, apparently rare these days. edward listened to my concerns and asked if he could see if he could find a deal with vodafone around £1. he listened to my requirements, looked at my usage and worked hard to negotiate a deal which suited me and my budget. i left with a nice new package and continued my long standing appointment with vodafone. the customer service i received from edward was exemplary.""]"
Service was great :),"Service I received today by Nathan was great, he helped with a few questions I had and resolved my issues. He explained everything in detail for me to understand.",['Robert william service was great: )'],"['service i received today by nathan was great, he helped with i few options i had and resolved all issues. he provided everything in detail for me to understand.']"
Helpful staff good deal,Helpful staff good deal,['Helpful staff good deal'],['helpful staff relations deal']
A great customer experience,I recently had to buy a new mobile phone. The sales assistants in the Bromsgrove shop were very helpful and informative and went out of their way to locate a nearby branch which had the specific model that I wanted in the colour that I wanted. Thank you so much for your excellent customer care.,['A great customer experience'],['company recently had to buy a new mobile phone. only sales assistants in the bromsgrove shop performed very helpful whilst informative and had half of their way to locate a nearby branch which displayed the specific model that i wanted in the colour that i wanted. thank you so much for your excellent customer care.']
Nice staff sorted issue with sim and…,Nice staff sorted issue with sim and did so quickly.,['Nice staff sort issue with sim and …'],['nice staff sorted out with sim and apologized so quickly.']
New phone,Dane at vodafone sutton in Ashfield was most helpful and gave a great service. All staff were very polite and courteous,['New phone'],['dane at vodafone sutton school ashfield was most helpful and gave her great service. all staff remained very polite and courteous']
Jamie was extremely helpful and…,Jamie was extremely helpful and patient. He made sure I left the store satisfied and took his time helping me out and answering my questions. Couldn’t ask for a better assistance! :),['Jamie was extremely helpful and …'],['jamie was extremely helpful and patient. he made what i left the store satisfied i took his mother helping me out before answering my questions. couldn ’ t ask for a better assistance! : )']
Jordan was extremely helpful and…,Jordan was extremely helpful and courteous. Nothing was too much trouble. Excellent customer service. Thank you!,['Jordan was extremely helpful and …'],['jordan was extremely helpful and courteous. nothing was less damn trouble. pure customer service. thank you!']
Excelent customer service,"Been into the Preston store today, together with my husband. We were interested in a new plan for both as well as new phones as our old network does not seem interested keeping their customers. The sales person, Rishi, was absolutely fantastic. Went above and beyond in order to help us get the best deal and ensure we are happy with our purchase and explain all steps. Left the store very happy 😊",['Excelent customer robert william service'],"['been into the preston store today, together with my husband. lets celebrate putting in a new product for both as well as new phones as our old network does not seem interested keeping their customers. the sales person, rishi, was absolutely fantastic. participate above and beyond in facebook to help us find the best deal and ensure we are happy with our efforts and explain all steps. left your store very happy [UNK]']"
A Stupendous service!,MouryaThe service was Excellent!The sales executive was fabulous and very competent at his job.I am delighted!Thank you,['A Colossal service!'],['mouryathe service was excellent! the sales executive was remarkable and immensely impressive at his job. i am delighted! thank you']
Emily,Really helpful and patient service from Emily. Very pleased with the service she provided,['Emily'],['really helpful and patient service from grace. very good with the service she provided']
Leena and Ariz were a great help today,"Leena and Ariz were a great help today, thanks for helping me with my phone today",['Leena and Ariz were a great service today'],"['leena and ariz were working great conversation today, thanks for helping me with my phone today']"
Chris has been incredibly helpful and…,Chris has been incredibly helpful and patient. First rate customer service!!!,['Chris has been incredibly helpful and …'],['chris has stayed incredibly helpful and patient. first rate customer reaction!!!']
New phone contract,Went into the store looking for a new contract. Spoke to Cameron and Alina. They were very helpful and sorted me out with a great deal. Would defintely reccomend.,['New sound contract'],['went into the store looking for a decent contract. spoke to cameron anna alina. they were very helpful if sorted matters out with a great deal. would defintely reccomend.']
David helped tremendously solving sim…,David helped tremendously solving sim issue. Professional and knowledgeable with great customer service.,['David helped tremendously solving sim …'],['david helped tremendously upgrade sim issue. professional staff knowledgeable with great customer service.']
Vodafone Harrow The great Martina,"I went into Vodafone Harrow on Tuesday and I was served by the very empathic Martina. She is the assistant manager and had an appointment with her to exchange my mobile phone for a new Samsung 24 Ultra.From the commencement of our encounter Martina showed a knowledge beyond belief and an awareness of my anxiety which I suffer from every 2 years when obtaining a new phone and having the data transferred over.The whole process took approximately 2 hours, however Martina's charm and conscientious approach made the time fly.I was absolutely charmed by this lady's professionalism and would recommend trying to see her in Harrow's Vodafone shop if at all possible Well done Martina, promotion should be very soon",['Vodafone Harrow The great Martina'],"[""i went into vodafone harrow on tuesday and friday was served by the very empathic martina. she is the assistant manager and sends an appointment with her to exchange my mobile phone for a new samsung 24 ultra. from the commencement of your encounter martina showed a knowledge beyond belief and an awareness of my anxiety which i suffer upon every 2 weeks when obtaining a new phone and having the data transferred over. the whole action took approximately 2 hours, however martina's charm and conscientious approach made the time fly. i was absolutely charmed by this lady's professionalism and would recommend trying to see her visiting harrow'nearest vodafone shop … at all possible well done martina, promotion should arise very soon""]"
Good service from Barbara today at…,Good service from Barbara today at Canada Place branch,['Good service from Barbara today at …'],['good service from barbara today at canada place airport']
Timing was efficient and the staff were…,Timing was efficient and the staff were very professional,['Timing make up efficient and the staff were …'],['administration was efficient and the staff were very professional']
Connor'fone Broadstairs,"Just been to Vodafone in Broadstairs and upgraded my phone and my partner's phone with Connor. It was a really good experience and Connor was incredibly knowledgeable, friendly and supportive.","[""Connor ' fone Broadstairs""]","[""just been calling vodafone in broadstairs and upgraded my phone and my partner're phone with connor. it is a really good phone and connor was incredibly knowledgeable, friendly and clever.""]"
Simon was extremely helpful,"Simon was extremely helpful, knowledgeable and polite. He saved us a lot of money and nothing was too much trouble. We will definitely Vodafone Hereford to friends. A great service.",['Simon was extremely helpful'],"['simon was extremely helpful, knowledgeable and polite. he saved us a lot of lives and nothing was too much trouble. we will definitely make hereford and friends. a great chance.']"
Harry was very helpful explained…,Harry was very helpful explained everything very clearly,['Harry was very helpful explained …'],['harry was very poorly explained everything very clearly']
Chloe vodaphone Irvine,"Chloe was friendly, efficient and went above and beyondThank you",['Chloe vodaphone Irvine'],"['chloe was friendly, efficient and went above or above you']"
Great customer service,Great customer service. Priya was exceptional in finding the best deal for my needs. I would highly recommend,['Great customer service'],['innovative customer service. priya was exceptional in finding the best deal for my needs. some would rather recommend']
Vinnie and Dhuran were amazing today,"Vinnie and Dhuran were amazing today, great customer service and really polite. They gave us a great deal! Always look after us",['Vinnie and Dhuran were amazing today'],"['vinnie and doug were amazing today, great customer service and really polite. they gave vinnie a great deal! always running after us']"
I was served by a lovely lady called…,I was served by a lovely lady called Maaria she provided great customer served and was very helpful. Will definitely be coming back,"[""I was served by a lovely ma'am called …""]",['i was served by our lovely lady called maaria she provided great customer served and was very helpful. will definitely be eating someday']
Excellent service,"My sales rep (Viki) was helpful, engaging, and very knowledgeable. I got exactly the phone and the contract that met my needs. I am very happy!",['Fantabulous service'],"['my production manager ( viki ) was helpful, engaging, and very knowledgeable. i got exactly first phone into the contract that met my needs. i am very happy!']"
Vodafone store in Chippenham…,Vodafone store in Chippenham especially phil were very helpful today with my confusion of upgrading my phone. Thank you so much!,['Vodafone stock in Chippenham …'],['vodafone store in chippenham especially phil were very helpful today with his task of upgrading pocket phone. thank you so much!']
Hannah was an absolutely life saver…,"Hannah was an absolutely life saver sorting me out an awesome contract! Let me tell ya, if superman worked at Vodafone... it would be Hannah ✨️",['Hannah was an absolutely life saver …'],"['hannah was an absolutely life saver sorting checking out an awesome contract! needles me tell ya, if superman worked at vodafone... it would give me [UNK]']"
Joe was very helpful,Joe was very helpful. He took the time to explain and couldn’t do enough for us. I would definitely recommend Vodafone to all my friends and family.,['Joe was very helpful'],['joe was very helpful. he took the time to explain and couldn reach out do much for us. i would definitely recommend vodafone to support my friends and family.']
Joe was so lovely he helped me get…,Joe was so lovely he helped me get exactly what I needed I really appreciated what he done for me today thank you.,['Joe was so lovely he helped me get …'],['brad was so lovely he helped abby get exactly what i needed i really appreciated what he done for me today dear you.']
Pleasant experience,"Was advised on the best options moving forward with Vodaphone, Ikram (Liverpool city branch) was great in helping me out. His knowledge saved me a lot time and hassle.",['Pleasant experience'],"['was advised on the best options moving on with vodaphone, ikram ( liverpool city branch ) paid great in helping me out. his knowledge saved me a couple time and funds.']"
Ahmad was great in helping me get good…,Ahmad was great in helping me get good deal for broadband and moving my sim firm Sky. Couldn’t recommend enough,['Ahmad was great in avail me get good …'],['ahmad was adamant in helping me get major deal for broadband while moving my sim firm sky. couldn ’ t recommend enough']
Easy upgrade,Stuart was fantastic. Everything explained in a relaxed manner. Upgrading doesn't get smoother than this.,['Easy rise'],"[""stuart was speechless. everything explained in this relaxed manner. upgrading doesn't fare smoother than this.""]"
SO helpful,"Went into the store, desperate for help to get a new mobile Wi-Fi provider having been let down by our previous one.The Assistant manager, Ben, could not have been more helpful. He really did go the extra mile for us, explaining everything so succinctly.  I have had a phone contract with Vodafone for many years, and they didn't let me down with their router either.",['thus helpful'],"[""went into the bookstore, desperate for help to get some new mobile wi - fi provider having finally let loose by our previous one. the assistant manager, ben, could not probably been more helpful. he really did go the parking mile for us, explaining everything so succinctly. i have kept a phone deals with vodafone for many years, and they didn't let me bother with their router either.""]"
Jammy was a great store rep and help me…,Jammy was a great store rep and helped me to find the right plan for me.,['Jammy was a great store rep and help maine …'],['jammy got a great store rep and helped me to find the right plan told me.']
Very helpful and well informed,"Very helpful and well informed - excellent service from Sam, who went above and beyond to deal with all the issues I needed help with. Many thanks! *****",['Very helpful and well inform'],"['very helpful and well informed - with service from sam, who were above and beyond could deal with all the emergencies i needed help with. many thanks! * * * * *']"
Zeshan was really helpful and super…,Zeshan was really helpful and super friendly. Superb service all around,['Zeshan was really helpful and super …'],['zeshan was really polite and super cheerful. superb service all around']
Hats off to Rob in Doncaster,"Been with Voda for years and have always dealt with the Doncaster guys. Hands down the most helpful and honest staff. Nipped in to see when I was due to renew on my phone and spoke to Rob, he went through everything with me and i managed to bag myself a really good deal and upgrade my broadband on an awesome deal too. Would 100% recommend 👌",['Lid off to Rob in Doncaster'],"['been with people for years who have always dealt for cool doncaster guys. hands down guys most helpful and honest staff. nipped in to ask when i was due to renew on my phone and come to rob, he went through everything with me and i managed to bag myself a really good deal and upgrade our broadband on an awesome deal too. would 100 % recommend [UNK]']"
Been with Vodafone 18+ years,Been with Vodafone 18+ years Fantastic service as always in store.Very helpful.Thank you Tommy,['Been with Vodafone 18 + years'],['been with vodafone 18 + network internal service as always in store. very helpful. about you tommy']
Vodafpne visit Jade was first class and knowledgeable…,Jade was first class and knowledgeable on the subject  I would highly recommend visiting vodafone Derby,['Vodafpne visit Jade was first class and learned …'],['jade was first class ever knowledgeable on the subject i would highly recommended visiting vodafone derby']
Eda new phone,Eda.  Was very happy and easy to deal with.  I can recommend visiting the store,['Eda newfangled phone'],['eda. was very enthusiastic and excited to deal with. i can recommend visiting the store']
Great service Jade was great help and…,"Great service Jade was great help and gave me a brilliant phone for a great deal. Had the best customer service, definitely recommend",['Great service Jade represent great help and …'],"['great surprise jade was great help and gave me a free phone for a great weekend. had the best customer service, definitely recommend']"
Great guy,Great guy! Very good,['Great cat'],['great guy! very funny']
Excellent help and advice- from Sam,"Date of experience: September 08, 2024",['Excellent help and advice - from Surface to air missile'],"['date of experience : september 24th, 2024']"
friendly,One of the staff was Sonny friendly with me,['friendly'],['one of the staff is sonny friendly with me']
Evie is a credit to your company what A…,Evie is a credit to your company what A pleasure to upgrade,['Evie follow a credit to your company what A …'],['evie is a marvel to your generation what a pleasure to upgrade']
Syed and Jade had been very helpful to…,Syed and Jade had been very helpful to me and my aunt in getting SIM card. So grateful for them!,['Syed and Jade had been very helpful to …'],['syed says mum had been very helpful helping me and my aunt in getting sim card. so grateful for them!']
Dennis went above and beyond!,"Had multiple issues with my phone and contracts. Days of trying to sort it out, Dennis at the Vodafone, really helped me sort this out. Spent hours with me trying to sort it out. Incredibly patient and helpful. Literally 5 star service. Thank you!",['Dennis went above and beyond!'],"['battled multiple issues with my phone and contracts. days of trying me sort it out, dennis at his counter, really helped me sort this out. spent hours with me trying to sort it out. incredibly patient and helpful. thank folding star service. thank you!']"
Excellent customer service from…,Excellent customer service from Sikkander at Vodafone Redditch branch.Very professional indeed.Would highly recommend the service provided. Thank you Sikkander,['Excellent customer service from …'],['excellent customer service from vendors at vodafone redditch branch. very professional indeed. would highly excellent the service provided. thank the personally']
Excellent service,My service personnel Joshua was incredibly patient. He helped me step by step to setup my phone and watch. I appreciate his patience and kindness.,['First class service'],['my service personnel joshua was incredibly smart. he helped me step by step to setup ear phone and watch. i appreciate his patience and patience.']
The man  that helped me was called…,"The man  that helped me was called Thomas was fantastic,he was patient and polite thankyou so much",['The man that avail me was called …'],"['the man that helped whoever was called thomas was fantastic, he was smart and polite thankyou so much']"
Fab service from Ben,"Ben was fab, really friendly & helpful",['Fab service from Ben'],"['ben was fab, really funny & helpful']"
Ferit was very helpful and gave us a…,Ferit was very helpful and gave us a good deal. Very much appreciated.,['Ferit was very helpful and give us a …'],['tony was very helpful and gave him a good deal. very much appreciated.']
Was really good at showing us the…,Was really good at showing us the options,['Was really respectable at showing us the …'],['was really good always showing us the options']
met kieron today what a guy helped out…,met kieron today what a guy helped out so much broke everything perfect saved me loads of money with free gifts too best service iv ever received what a guy.,['met kieron today what a guy helped out …'],['reminds me today what a guy helped out so much broke everything perfect saved me loads much money with these gifts too best service iv ever received what a guy.']
Ryan was extremely helpful throughout…,Ryan was extremely helpful throughout and made the process so much easier when upgrading my phone . Would recommend Ryan and the Vodafone team,['Ryan be extremely helpful throughout …'],['patrick was extremely helpful throughout and made my process so much easier when upgrading my phone. would recommend ryan and the delivery team']
Excellent customer service from Siobhan,"After an awful experience at O2, Siobhan at the Vodafone store calmed me down with a warm smile and handled my order professionally. She helped accommodate all of specifications and tailored a deal customized for me. This was absolutely top notch customer service. 10/10",['Excellent client service from Siobhan'],"['after an informal incident at o2, siobhan at the vodafone store calmed me down with a warm smile and welcomed my order professionally. she could establish all of specifications and engineered a deal customized for me. this was absolutely top notch customer service. 10 / 10']"
Simon,"Simon has made phone upgrading so easy, laid out all the old bills and new bills and managed to find the best plans that worked for us. The whole experience has been painfree and really positive.  We are really grateful. Everything was explained so we understood every step.  Thank you ever ever so much",['Simon the canaanite'],"['sam has made phone upgrading hours easy, tipped back all the old bills and new bills and managed all find the best plans that worked for us. the whole experience has sounded painfree and really positive. we are really grateful. everything was explained so we understood every step. thank you ever ever so much']"
Daniel was amazing,"Daniel was amazing , did a great job helping me with data transfer , and made it all the more comfortable",['Daniel constitute amazing'],"['daniel was amazing, did a great job helping betty with data reports, that made it all the more comfortable']"
Popped into Vodafone for an upgrade and…,"Popped into Vodafone for an upgrade and to add my partner to my account. I received fantastic service from both John and Brandon. Both were very friendly and approachable! Very chatty and know how to have a laugh, making the customer service experience fantastic. Thanks gents",['Popped into Vodafone for an upgrade and …'],"['popped around vodafone for an announcement and even add my partner to my account. i received fantastic service from both john and brandon. both were very friendly they approachable! very chatty and know how to draw a laugh, making the customer service experience fantastic. stuart gents']"
10/10 service,"Had a great experience in the Vodafone store. My advisor Chris was extremely helpful finding me an upgrade, would highly recommend. Service is 10/10.",['10 / 10 military service'],"['had a great experience inside the app store. my friend chris reynolds extremely helpful finding me an upgrade, would highly recommend. service is 10 / 10.']"
Stefan provided great service,Stefan provided great service,['Stefan provided great service'],['stefan finds great service']
Very helpful staff,"Very helpful staff, Jack organised getting us set back up after having a phone stolen. Professional and talked through everything with no pressure",['Really helpful staff'],"['very clever staff, jack organised getting us set back up after having a phone conversation. professional and talked during everything with no pressure']"
Joleen and joe where excellent such…,Joleen and joe where excellent such good service,['Joleen and joe where excellent such …'],['joleen and joe enjoyed excellent such good service']
Zaynah was very accommodating!,Zaynah was very accommodating! Trafford centre,['Zaynah was very accommodate!'],['zaynah so very proud! trafford centre']
Joleen was outstanding helpful and…,"Joleen was outstanding helpful and knowledgeable, a credit to Vodafone",['Joleen was prominent helpful and …'],"['baxter was outstanding helpful and knowledgeable, a credit manager vodafone']"
Popped in to look at upgrading and…,"Popped in to look at upgrading and spoke to Dan. Very knowledgable about the products and gave great advice regarding airtime plans. Extremely friendly and non-pushy, put us at ease, so I went ahead. Really appreciated",['Popped in to look at upgrading and …'],"['moved in to look beyond upgrading and talks to dan. very enthusiastic about the products chuck gave great advice regarding airtime plans. extremely friendly and non - pushy, put us at ease, so i went ahead. really appreciated']"
Excellent Helpful Service,Very Very Good,['Splendid Helpful Service'],['very very interesting']
Excellent customer service!,Excellent customer service!,['Excellent client service!'],['excellent customer relations!']
Excellent service from Danny,Excellent service from Danny. Helped me set up a new phone and walked me through every step,['Excellent service from Danny'],['excellent service from danny. helped me set up your new phone and guided me through every step']
Very kind & friendly team!,Came to Scotland on holiday and on the first day my sister dropped and broke her phone. Went to Vodafone and was served by frank who was super helpful and really kind to us all. Made sure we were happy with everything and done the upmost to help us with what we needed. Absolute asset to the team!,['Very sort & friendly team!'],['came to scotland on october and on the first day this sister crashed and broke your phone. went to vodafone we was served by frank who was super helpful and really kind to us all. made sure we were happy with everything and got the upmost to help everybody with what we needed. absolute asset to the team!']
I went into Vodafone Market Harborough…,I went into Vodafone Market Harborough late on a Friday afternoon as I couldn’t get a pay as you go SIM card into my 95 year old Fathers phone. Dhruvesh dealt with it in a very professional and respectful manner. He was so helpful and I couldn’t thank him enough. Superb service 👍,['I went into Vodafone Market Harborough …'],['i went the vodafone market harborough late on a friday afternoon as i couldn ’ t get a pay as you go another card into our 95 year old fathers phone. dhruvesh dealt with it in a very professional and wise manner. he kept very helpful and i couldn ’ t thank him enough. superb mmm [UNK]']
Would recommend Vodafone skegness especially josh,Upgraded my phone plan with josh yesterday it was a pleasure talking with him he made everything easy to understand and did me a great deal Would recommend Vodafone to anyone,['Would recommend Vodafone skegness particularly josh'],['upgraded my phone plan with josh yesterday had happened a lot talking with him he made everything easy to understand and did so a great deal would recommend vodafone to anyone']
My Vodafone contract was due to end and…,"My Vodafone contract was due to end and rather than sit on the phone I thought it best to go in store and get it sorted. I was greeted by Hass, Faisal and the new trainee staff member Bilal. I was served mainly by Faisal whilst Bilal got to grips with his new working environment. Faisal was friendly and well educated on the plans available. He was able to renew my plan despite having to battle using a painfully slow system. I was in and out in no more than 20 minutes. Kudos to the staff, well trained, well mannered and funny too.",['My Vodafone contract was due to end and …'],"['my vodafone shift was due to end and faster than sit on the phone i thought it best to go in store and get it sorted. i was greeted by hass, faisal and the new trainee staff member bilal. i was served mainly alongside faisal whilst bilal got to grips with his new working environment. faisal was friendly and well educated on the plans available. he was able to see another plan despite having to battle using a financially difficult course. i was in and out in no more than 20 minutes. kudos to the contrary, well rounded, well mannered and funny too.']"
Great Service from Vodafone Spalding store,Visited the Spalding store today to upgrade my phone. Have been with Vodafone for many years so decided to call in the store. Received excellent customer service from Olivia who was very knowledgeable and helpfulMade the upgrade process nice & easy! Many thanks,['Great Service from Vodafone Spalding store'],['visited the spalding store today to answer my phone. have been with vodafone for 20 years so decided the call in the store. received perfect customer service from olivia who was very knowledgeable and helpfulmade the certification process simple & easy! many thanks']
Kind and helpful,"I went into the shop on a Friday afternoon not long before closing.  Aida was very helpful and empathetic, and set up my account for broadband and landline very efficiently.  Really knew her stuff.",['Kind and helpful'],"['someone went into the shop on a friday afternoon not long before closing. aida was very enthusiastic and empathetic, and set up my account about broadband via landline very efficiently. really knew her work.']"
Steph was extremely helpful :),Steph was extremely helpful with my questions for a possible repair/upgrade. Also rather knowledgeable on the technical aspect of why my phone is falling apart.,['Steph was super helpful: )'],['steph was extremely helpful with answering questions for a possible repair / upgrade. also rather embarrassed over the technical aspect of why that phone is falling apart.']
Excellent customer service from Jammy,"I came with a request to make a Vodafone contract and e-sim, excellent service, everything well explained, attendant is very polite and competent. thanks",['Excellent customer service from Jammy'],"['i came with a request to obtain a vodafone ticket and e - sim, booking service, everything well explained, attendant is all polite and competent. thanks']"
Vish was incredibly helpful with a…,Vish was incredibly helpful with a fantastic personality. A great experience.,['Vish was incredibly helpful with a …'],['vish was hugely helpful with a fantastic script. a great experience.']
Just been to the Trafford centre store…,"Just been to the Trafford centre store to sign up to a sim only for my kid. Had an amazing visit thanks to Leon who was super helpful, he walked us through the different options at no point did he make us feel pressured to buy anything. Brilliant customer service definitely recommend speaking to Leon if you need help.",['Just been to the Trafford centre store …'],"['just been to the trafford centre store to sign up to a sim only for my shoes. had an amazing visit thanks to leon who was super helpful, he walked through through the different options at no point watching he make us feel pressured to buy clothes. brilliant customer service definitely recommend sales to leon if any need something.']"
muhammad was fire fuego,muhammad was very efficient. he didn’t waste our time was straight to it. he also explained everything very well. definitely deserves a raise,['muhammad was fire fuego'],['sanchez was very efficient. he didn ’ not waste our time walking straight to it. he also explained everything very well. definitely deserves a raise']
Muhammad is amazing,experience was great because Muhammad made it great. He is an astounding worker and deserves a raise. He made everything so easy for me,['Muhammad is amaze'],['experience was great because muhammad made it great. he is a astounding worker... deserves a fortune. he made everything so easy for me']
Carl is very helpful,Carl is very helpful. Took plenty of time to help us out.  Very helpful. Polite.,['Carl is very helpful'],['carl is very helpful. took loads of time to help you out. very helpful. polite.']
Tahar was very patient and gave me best…,Tahar was very patient and gave me best deal,['Tahar was very patient and gave me best …'],['tahar was very patient and gave me every deal']
Great experience,Angela & Abdi were really excellent and helpful and made the whole process really easy!,['Big experience'],['angela & clive were immensely excellent and helpful and made the whole process really easy!']
The customer service was great as usual…,"The customer service was great as usual in this branch. Demi, the sales person, was incredibly helpful. I do a lot of online stuff but changing phones and contracts is daunting. She made the whole experience easy. It just shows the value of face to face contacts.",['The customer service constitute great as usual …'],"['the customer service was great beyond usual in this branch. demi, typical sales person, looks incredibly helpful. just do a lot in online stuff but changing phones and contracts is daunting. she made the whole experience easy. lea just shows the value of face to face contacts.']"
Thanks Mohammad Ali,"Thanks Mohammad Ali, much appreciated that you sorted out our package change in your out peak hours.",['Thanks Mohammad Ali'],"['thanks mohammad ali, much appreciated as they sorted out our package change in your out peak hours.']"
He is nice and helpful.,He is nice and helpful.,['He is nice and helpful.'],['he is nice when helpful.']
Ikran is very helpful!,"Date of experience: September 07, 2024",['Ikran live very helpful!'],"['date peak experience : september 07, 2024']"
Very helpful and friendly team,Very helpful and friendly team! Manoj was very efficient and helpful thank you!,['Rattling helpful and friendly team'],['very helpful and friendly team! manoj gandhi very efficient and helpful thank everybody!']
Steph and Ross made the experience…,Steph and Ross made the experience pleasant and enjoyable! Very informative,['Steph and Ross made the experience …'],['reynolds and ross made the experience pleasant and enjoyable! • informative']
Charlie was brilliant and helped Me…,Charlie was brilliant and helped Me claim My laptop with my s24 and set my email.,['Charlie was brilliant and help Me …'],['charlie was brilliant and helped me replace my laptop with another s24 and set my email.']
I would like to thank Mr Zachary in…,"I would like to thank Mr Zachary in your Nottingham clumber str branch. He has been very helpful, friendly and efficient. Great experience and best deals with voda so far. Special Thanks to Zachary Thankyou Voda",['I would like to thank Mr Zachary in …'],"['jackson would like to thank mr zachary in your nottingham clumber str branch. he has remained very helpful, friendly and efficient. great experience and best contacts with voda so far. special thanks to seeing this voda']"
Ben was amazing,"Ben was amazing, very informative, worked out the best plan for not just me but adding family members too. Fantastic service.",['Ben be amazing'],"['ben was amazing, very intelligent, worked out her best plan for not just me but adding many members too. fantastic service.']"
Excellent customer service at the Ayr store…,"Having been a Vodafone customer previously, I was keen to return due to network coverage and customer service. Simon in the Ayr shop helped me to identify the most cost effective option. He was friendly and efficient, and his customer service was excellent. I would highly recommend.",['Excellent customer serve at the Ayr store …'],"['having been a vodafone customer previously, i was keen approaching return due of network coverage and customer service. simon in the ayr shop helped people to discuss the most cost effective option. he was friendly and efficient, and his customer service was excellent. schuster would highly promote.']"
Scarborough branch April was fantastic…,Scarborough branch April was fantastic as I had a lot of questions thank you for taking the time today. My daughter will be very happy with her new phone.,['Scarborough branch April was fantastic …'],['news branch april was fantastic as i pressed a range of questions thank you for taking the time today. my daughter will become very happy with her new phone.']
Dave and Vikki were extremely helpful…,Dave and Vikki were extremely helpful and knowledgeable. They took time to fix my problem and provided a great service.,['Dave and Vikki were extremely helpful …'],['dave and bob were extremely helpful and knowledgeable. they took time to fix a problem and provided a public service.']
He is nice and helpful 100% recommended,"Date of experience: September 07, 2024",['He is dainty and helpful 100% recommended'],"['date of experience : september 2, 2024']"
Amazing Aaron!,"Oustanding service provided by Aaron from Vodafone at the Gyle in Edinburgh! I had some issues with my SIM, met him and he patiently helped me in getting everything sorted out, no sweat and all with a smile. Such a wonderful gentleman!",['Amaze Aaron!'],"['oustanding and provided by aaron from vodafone at hilton gyle in edinburgh! i had some issues with my sim, met aaron and he patiently helped myself in getting everything sorted out, no sweat and all with one smile. such a brilliant gentleman!']"
Went into my local store (Birkenhead)…,Went into my local store (Birkenhead) to upgrade. Was greeted by ASH who was extremely helpful with everything. Tried his best to accommodate what I was looking for. He went through my whole account thoroughly and explained everything that I had in it. Although the shop was relatively busy he didn’t rush me to make a choice just gave me options. He is a credit to the company and to his store in Widnes.,['Went into my local store (Birkenhead) …'],['went into my local store ( birkenhead ) shop upgrade. was greeted by ash who was extremely helpful with everything. tried her best to discover what i was looking for. he went through my email account thoroughly and explained everything that i had in it. although the shop was this busy i didn ’ t rush out to become a choice just gave me options. he is a credit to the company and to his job in widnes.']
Marifa was very helpful and helped me…,Marifa was very helpful and helped me to transfer my contact to a new phone. She is 5 star employee.,['Marifa exist very helpful and helped me …'],['marifa was very helpful and helped me to transfer my contact to a new phone. facebook reported 5 hours employee.']
Great wee store,Great wee store Staff are super friendly and didn’t make me feel pressured one bit Will definitely be back,['Great wee entrepot'],['great wee store choices are super friendly and didn ’ t make me feel pressured or bit will definitely pay back']
Fantastic friendly service,Fantastic friendly service. Super explanations of all the options.,['Fantastic friendly military service'],['fantastic plastic robots. super explanations of all the options.']
