title,content
Terrible service,"Terrible service, I tried to cancel my monthly contract and was told I had to use the online chat to do it, I was asked all the security and finally they refused and put me on to a sales person who tried to re sell me the contract cheaper with a free phone. I said no so I was passed to another person who went through security again, this repeated for 40 mins until I gave up having stated that I am ending the contract. Now they are threatening me with debt collectors!"
Francesco was very attentive and his…,Francesco was very attentive and his colleague lonnie is also so lovely and we got new phones no fuss great deal thanks guys x
Ikran was very helpful.,Ikran was very helpful.
Absolutely Fantastic my partner and i…,"Absolutely Fantastic my partner and i were greeted by Greyham who was absolutely brilliant with my partner who has bad social anxiety and was very understanding, he also passed the power of control for me to speak on behalf of my partner when it comes to her contract… I have now myself joined Vodafone and I don’t think I would’ve done that with the help from the team, also including Carly and Claire absolute credit to the team and would highly recommend"
Rosa was very helpful kind the best…,Rosa was very helpful kind the best deals i took the best advice i give 6 stars no 6
Flawless changeover from previous Fibre ISP,"Simple to order online.  Switch from ISP was scheduled quickly and the HUB was delivered fast.  Simply plugged in and switched on , on the morning of the switchover, I went out and came back 20 minutes later and my new Fibre connection was set-up.  Flawless and connection speed UP & down is bang on !  Have used for several days with zero drops.My first Fibre ISP (Gigabit Networks) sold me and load others to another ISP (Home Fibre) who messed up my connection when they did some maintenance several weeks ago.  Sadly they couldn't fix their mess and I had to move ISP as I work from home and hence rely on a stable connection.   My previous connection was unworkable so I had to resort to my old 4G SIM router as my main connection for work, which I'm now keeping as back-up.As I have many Vodafone sims for my families phones I decided to go with Vodafone Broadband, which I'm really happy with that decision."
Excellent service,Excellent service
Frozen Phone and New Phone,Great Customer service by Marifa unfreezing my old phone and setting up my new phone.
My experience at Vodafone shop with…,My experience at Vodafone shop with Ross he was very very helpful in setting my new phone up 11/10
Good service by Saf,"Date of experience: September 06, 2024"
Great customer service Thankyou markuss,"Date of experience: September 06, 2024"
Extremely helpful,Extremely helpful! Demi was friendly and welcoming and helped ressolve an issue that had been ongoing for over a year that customer services could not help with over the phone when asked for help multiple times! Very pleased with my new purchase also!
I went into the Vodafone store and was…,"I went into the Vodafone store and was served by Tyler, he went over all the benefits of different devices and helped find the right one for me. Great experience, will be returning to this store when I next update my plan."
Underhanded charges,"Nasty unexpected exit fee when leaving broadband.Got charged £30 for not giving a month's notice when moving house and leaving Vodafone's broadband service.  Anyone who has moved house knows you often don't get a month's notice of completion, so this is very difficult to avoid.  Enjoy the £30 Vodafone, it has cost you thousands because our family won't ever use you again."
Fantastic customer service today at…,Fantastic customer service today at Vodafone in Beverley. Danny was so helpful and took time to ensure I had the right package for me at a competitive rate.Highly recommend
GREAT CUSTOMER SERVICE,"Marcin was very helpful, nothing was too much trouble for him, great customer service"
Ross was Good and helped transferred my…,Ross was Good and helped transferred my photos
Very good service,"Very good service, friendly and did everything possible to help and it was a success. Agnieszka was great."
Kevin is excellent very knowledgeable…,Kevin is excellent very knowledgeable and patient I have been coming to the ross on wye branch for many years and have always had wonderful service.
Good service,"Good service, got two upgrades."
Easy to change phones and good…,Easy to change phones and good expertise of what phone would be best for me. Simon was very helpful
Dom absolutely top class,Dom absolutely top class. Thoroughly enjoyed interacting with him. Sorted my phones out and did a great job!
Superb Customer Service…,"I had a issue regarding a broadband order I had made, and the customer service provided by Natalie was superb.While the issue couldn't be directly resolved, Natalie helped me with a new order and sorted me out with a temporary solution while I wait for the new order.Definitely coming back again."
BROADBAND NOT WORKING AGAIN,"Date of experience: September 06, 2024"
Natalie and today 6th Sept 24,"Natalie listened to me and was so, so very helpful. I felt comfortable with her and I never felt thick, as I had a bleed in my head u struggle with seem things. Thank u. Also, today, Fri 6th Sept staff also really nice and helpful. Thank u v much."
Terrie was great helped me get the best…,Terrie was great helped me get the best phone
Exllent customer service,Very good customer service I'm really happy withJacob keep up with your exllent customer service
Excellent polite service,Felt at ease Excellent service Quick polite and pleasant Easy to understand and clear explanations
Absolutely fantastic help,Absolutely fantastic help! Highly recommend this service. I really appreciated all the help with my requests.
WILL the assistant was amazing,"WILL the assistant was amazing, patient and extremely helpful I bought a new updated phone Will explained everything abd transferred everything from my old phone,he was very knowledgeable. I will definitely recommend Vodafone and Will to family abd friends."
Jordan was a great help and he helped…,Jordan was a great help and he helped me purchase a phone I could use. Great help
"Great staff, poor systems",This is the 2nd time I have been into the shop trying to upgrade my phone and your systems have had issues.My time is precious and spending hours at a time trying to upgrade only to be told your systems are not working properly is totally crap. The poor staff are trying to do their best and are so helpful but it seems impossible for them with such shocking systems to work on.
vodafone west bromwich,billy was very helpful with renewing my contract
Vodafone west bromwich,"Billy was very helpful and friendly, a very good consultant"
Helpful and quicker than I'd expected.,Helpful and quicker than I'd expected.
Katie is very friendly and kind and the…,Katie is very friendly and kind and the rest of the staff whenever I have come in
Vodafone has clearly cheated there…,Vodafone has clearly cheated there customers who were paying 22£ a month for its package.They have removed a feature of disconnecting a device from WiFi from this version and very slyly moved it to its higher package of 38£Ridiculous big cheating going on .despite complaining for last 1 year they keep saying it was an upgrade that caused it and they can’t fix it back.useless customer service team.please avoid Vodafone broadband.rubbish customer service and they can take away any feature for the package u took and then ignore it.this issue has been put on their forum but no response.I want an explanation from Vodafone on this and put this feature back as it wasEdited-6 September- unfortunately Vodafone is quick to reply to positive comments but never bothers to reply to people who are actually complaining against the right things They know they are at fault and hence ignoring itPlease avoid this company. Absolutely rubbish customer service and only money making 09/09/2024-still waiting for Vodafone to reply.Now going to post this on twitter
"I'll pass on V's from now on (vodafone, virgin)","I recently left virgin because occasionally the internet would go out and they were charging me £70 a month for 350mbit. I figired based on the reviews here being mostly good, vodafone would be good (I was wrong) after switching to vodaphone for the first 1-2 days. it was great, 900+ dwn and up but after 1-2 days, it refused to connect to the internet properly. I say properly because we could access the internet, but only a few of the big websites worked (YouTube, amazon, Microsoft) while other large sites such as steam, twitter and discord refused to connect (on both wifi or lan), after a few days trying to figure it out ourselves we got nowhere, the Router provided is really locked down, so that didn't help.Eventually I called support, after a few hours they said they will call the next day and if its still not working they'll send a new router, get a call, its still not working get told to go through troubleshooting again and that they will ""send a new cable"" wifi problems and two lan routes... (They were not talking about from the fiber to router but one of our lan connections) I talked then into sending a new router, due to a few reasons the router was set to arrive later than intended and would arrive after the free period (you have 14 days to leave for free) I wasnt willing to gamble if everything would be ok after the new router came, as if it were still crap I would leave and have to pay a fair chunk of money so I called and cancelled my vodafone After the new router came outside the free period, it worked great the internet worked again, and I kind of regretted leaving, however by the next day it stopped working again. I usually dont advise people to stay away from certain companies, but for this it was bad enough that I advised the people living by me not to, mostly because often people in the same area tend to have the same problems.(As a side note, part of me feels like it could be a problem on the fiber connection, though I dont feel like its likely, I'll update this review sometime in october as if my problems persist into a new isp, its could be a problem outside of vodafone)Heres a weird tidbit: the internet problem broke the internet for windows, android and iphone, but linux seemed to be completly fine"
Absolutely appalling customer support,"Absolutely appalling customer support. Broadband wasn't working. Phoned the customer helpline over 2 days. For example I have had 32 phone calls with Vodafone and still no attempt at a resolution. One of these calls I was on the call over 45 minutes, another over 30 minutes on hold. Policy appears to be just talk at the customer until they give up and go away. I'll be leaving Vodafone as soon as I possibly can. AVOID AT ALL COSTS!The reply below from Vodafone is from a bot. Every negative review on here has the same reply"
Amazing service!,"Nathan at the shop was very knowledgeable and experienced with everything we asked him while upgrading my phone, he was very friendly with me and my family and the service was ten out of ten. I would come back to this shop next time especially if Nathan was working."
Izzy,"Izzy, who dealt with me regarding the Broadband moving house was very helpful and extremely patient. It took more than an hour due to very poor chat support which we've used with her to sort out my request. But she provided an excellent support and solve the problem for me. To summarize....5+ stars for Izzy, 3 Stars for Vodafone overall service as a company."
Abhi was brilliant,Abhi was brilliant - helpful and informed.
Swayem is a GEM,"Swayem made this appointment a pleasure.  A very professional and kind person, listening to us and what we wanted from our phone contract. He was very clear what was entailed and we felt we got the best deal for us."
Thalia at the Liverpool store was very…,"Thalia at the Liverpool store was very nice and helpful, thankyou"
Came to the store for an upgrade was…,Came to the store for an upgrade was provided excellent service from an adviser named Tyler.
Visited a Nottingham Vodafone store a…,"Visited a Nottingham Vodafone store a couple of weeks ago to get some advice on moving the internet contract to a new place and sorting out mobile internet options for the meantime. Had a very good experience, Tom and Rich were very helpful, professional and friendly. As stressful as these visits might normally be, this one was an opposite. 10/10, would recommend :)"
Great customer service :),"I visited the Portsmouth, commercial road store today and was met with Blake who helped assist me with upgrading my phone . He provided amazing customer service from the offset being very helpful and had a great sense of humour and made my experience very pleasant and stress free . Blake is an asset to your team - thank you :)"
Great customer service,"Rose who dealt with me at Vodafone Bristol provided really great service - listened to what I wanted, no hard sell, just gave me exactly the contract I needed - really impressed!"
Sales Assistant Esther at Vodafone…,"Sales Assistant Esther at Vodafone (Market Street Manchester)Esther was approachable worked a smile, she listened to what I was looking for she was knowledgeable and gave options for me to choose and found good deals to make a choice, I got a good price and left with a better option that I thought. The process was quick but not rushed. Happy customer!"
Everyone was really helpful,"Everyone was really helpful, and more importantly Dylan and Emily helped save me money!"
Edward,Edward was very helpful with setting up my new phone and explaining how it all works. Highly recommended.
The staff are lovely,The staff are lovely
Nicolas the guy who served me so…,Nicolas the guy who served me so helpful and experienced on everything and knows what to do and he got well customer service talent.
Lee was informative,"Lee was informative, enthusiastic  patient and methodical in making sure I understood all the info I  was receiving.Highly recommended."
New phone,Fabulous service from Amy. Couldn't be better. Professional and friendly.
Excellent,Very helpful and professional. A pleasure to deal with.
Chloe was very helpful.which is what…,Chloe was very helpful.which is what made me get a new phone snd sim saving me money .👍
Amazing experience,"Amazing experience, thank you John for being approachable and giving us quick service!"
Naheem && Hichem,Naheem & Hichem was super helpful and kind. Very professional and explained everything in very clear way. I am very satisfied with my experience.
Lucas and bo needs a very high pay rise…,Lucas and bo needs a very high pay rise and promotion to become area manager and regional area manager one day they have taken customer service to new heights and well deserves to both of them to be progressed  in there job roles. Justin
Maryam and Hichem - Westfield London,Maryam and Hichem went above and beyond to help me set up an eSIM. I’m so happy with the service and will absolutely be coming back to this branch when it’s time to upgrade to a better plan!
I've been using Vodafone for a while…,"I've been using Vodafone for a while now, and overall, I'm pretty satisfied. The plans are reasonably priced, and the customer service has always been helpful when I've needed assistance. Most of the time, the coverage is great, and I get good speeds for browsing and streaming.However, there are a few spots where the signal drops or gets weaker, which can be a bit frustrating at times. If they could improve the coverage in those areas, it would be perfect. Still, a reliable service for the most part!"
Avoid Vodafone under any circumstances,Avoid Avoid Avoid ! Do not trust Vodafone to provide WiFi broadband in your home made me wait for 2 weeks that engineer will come on the 29th and on the 29th engineer came done half of the job and since then Vodafone keeps lying to me that engineer will come today tomorrow they keep giving me false dates I since then keep taking off work and then until 6pm no one comes . Do not trust Vodafone with your broadband or any service they are lying I am filling a complaint and going to sue them for making me off work . Keep sending me messages that engineer will come but then no one comes I have all the evidence and proof ! Avoid do not trust them . Do not sign the contract they convince you to sing the contract and then left on hold you have to keep making fone calls nothing will help you . Very disappointed
Substandard customer service,"I have an elderly iPhone 5 which is on it's last legs. An upgrade is needed, not least because the screen is cracked and the battery runs out very quickly. I do not want to upgrade online or by speaking to someone on the phone, I want to go into my store, but alas, the customer services lady on the main Vodafone number did not seem to really understand, nor supply me with a phone number for the store which I wanted to use ahead of going in to check what I needed. I am concerned about any loss of data too, and wanted reassurance this would not happen. Then I tried to go into my account and for love or money the system would not accept my password, or any others I tried to create. I have wasted a whole hour trying to get this sorted. I read with envy how others have gone into stores and had their problems sorted. The store here doesn't even have a functioning phone number. It's enough to make you want to switch providers, but why should I? I've been with vodafone for 7 years, but am seriously disillusioned by such poor customer service. Please DON'T send me the usual social media links as you do to others - they are no help to me at all. Actually I'd just like to speak to a human who understands what I need. Is that so much to ask?"
Helpful Demi,Demi was soo helpful and very patient.Had a problem that she resolved and I walked out happy .i was going to leave Vodafone but because of Demi being so helpful and friendly I decided to stay with them .
Excellent technical knowledge and  able…,Excellent technical knowledge but able to communicate to a customer who is not a techie! V good advice and saved me money. Sense of humour too! Great customer service 👍
Phone sims not working correctly,"Today I popped in with an issue with my one number not working and Sully the store manager gave me some advice and who I need to contact to get the issue sorted. I also needed some help with the fact my phones sim tried to duplicate itself as an eSIM so both sims were fighting each other essentially which he sorted for me. Later on I called the technical team to sort my one number connection for my apple watch and it completely stop my phone services from working which also ended the call the the techs and I couldn’t get back hold of them, incidentally my Apple Watch is still not working. I went back to see Sully and he sorted me out a new physical sim for the time being before I contact the technical team again with the issue with my watch. All in all Sully gave me some amazing service in store and fully recommend them if you do have any issues."
Azad Has Been very helpful and kind and…,Azad Has Been very helpful and kind and has explained everything
Best customer services in the Glasgow…,Best customer services in the Glasgow thank you becca
Narinder helped me transfer my…,Narinder helped me transfer my information from old phone to my new phone
Tina was a perfect  salesperson.,Tina was a perfect  salesperson.
Subz gave mefantastic service for…,Subz gave mefantastic service for thesecond time this year
Very happy customer,Very happy customer. Liam sorted me out a better deal and got me up and running with my new phone. Thanks.
All 3 members of staff were great,All 3 members of staff were great. All 3 of them worked on the upgrades for our phones and were amazing throughout. Sorting phones can be stressful. These guys made it a breeze! Thank you
Marcel sorted my phone and efficiently…,Marcel sorted my phone and efficiently and transferred all my information
One of the mats was amazing great…,One of the mats was amazing great service
Very Friendly and helpful,Friendly and helpful
Bianca was lovely,"Bianca was lovely, very kind and funny. Got a really good deal and save us loads of money"
Syed helped me a lot to solve my…,"Syed helped me a lot to solve my problem, he is a good advisor  and knows his job. I recommend him to everyone"
Victor is a super helpful chap,"Victor is a super helpful chap, provided great service and I left with the right product!"
Fantastic service from Vinnie,"Date of experience: September 05, 2024"
Outstanding Service from Ryan at…,"Outstanding Service from Ryan at Vodafone!I recently had the pleasure of dealing with Ryan at Vodafone, and I couldn’t be more pleased with the service I received. I was in the process of purchasing two contract phones, and Ryan made the entire experience smooth and stress-free.From the outset, Ryan was professional, knowledgeable, and really took the time to understand my requirements. He offered excellent advice, answering all of my questions with patience and ensuring that I was well-informed before making any decisions. His expertise made it easy to select the right phones and contracts, and he walked me through the process step by step.What particularly impressed me was Ryan’s commitment to providing exceptional customer service. He went above and beyond to ensure I was completely satisfied with my choices and that everything was properly set up before I left the store. In a world where good service is hard to come by, Ryan truly exceeded my expectations.If you’re looking for first-class service at Vodafone, I highly recommend asking for Ryan. I’m delighted with my new phones and the overall experience.Thank you, Ryan!"
Very happy with the advisor,Very happy with the advisor. Came in and spoke to Ken who helped me with my upgrade and home Internet
Outstanding service,Outstanding service. Very helpful above and beyond.
Carl was amazing,I was kept waiting long and the customer services worker Carl was very good at explaining things to me and explaining the current deals and offers with ease. Great person and would come back to him again
I recommend Bhavin good service from…,I recommend Bhavin good service from him in store
Great customer service,Great customer service when I was going to upgrade my phone. Very friendly atmosphere
Fantastic experience at longeaton…,Fantastic experience at longeaton Vodafone
Company is doing well by hiring good…,Company is doing well by hiring good staff that look out for elderly person like myself. Keep up the great work you guys do in the store.
Great customer service,Great customer service
Carl from the Westwood shop was really…,Carl from the Westwood shop was really helpful with me today to carry out all procedures and requests I needed.Walked out with better offers than I had originally thought possible
Exceptional,Above and beyond service from Chloe in Vodafone Inverness. She could not have been more helpful or patient.
Chloe is very helpful and professional,Chloe is very helpful and professional.  She is also a patient person.
Vic was very helpful as always 5star .,"Date of experience: September 05, 2024"
Viktor was super helpful,"Viktor was super helpful , fixed my issue very quickly :)"
Kieran and Cole were excellent,Kieran and Cole were excellent. We had a a complex changeover of tariffs and devices and they recommended the best way forward. They put their heads together and solved our best way forward. They spent a great amount of time to get things right.  I’d definitely return to Kieran and Cole at Vodaphone Silverburn.
"PUK, s at Vodafone",Warning vodafone block people from using their phones for no apparent reason by demanding PUK numbers and a lot of their staff do not know how to deal with it and they leave you unable to access your phone for days on end. This happened to me 3 times in 3 months. This problem is specific to Vodafone ( see PUK on Google)  the only way I could get round the problem was to change to another network which is what I have done
Very helpful,Chloe was really helpful and took the time to explain my options. Great service and fantastic people skills. Thanks again 😊
Excellent  service to  vodafone shop,Just been to  vodafone shop in Street and hannah served us nothing to much trouble a credit to the company lovely lady very  patient  with us x
Excellent service and deal,Excellent service and deal. Highly recommend.
Aaron Gyle Edinburgh,Great help from Aaron at Vodafone at the Gyle.
Excellent Sales Person,"Visited Vodofone (Stratford) for the first time in ages. Was introduced to an agent who's name is Gloria she was very curtious, considerate and understanding. She offered me a good plan with talk mobile which I was happy about. Would have been able do decide without her help."
Kevin,Kevin - excellent above and beyond service - many thanks
Tracy Edinburgh Gyle,Excellent service patience of a saint. Tracy was brilliant
Excellent experience,"Very thorough, Stephen listened to our needs and gave us great advice on what was suitable for our needs. Very efficient and friendly. Felt fully informed throughout."
Tausifur made our experience very easy,"Date of experience: September 05, 2024"
Great customer service delivered by Dan,"Dan made the change on my contract as a seamless experience. Very friendly, easy to talk to, helpful and he advised on the best deal. Thank you very much for your assistance, the staff at Vodafone is the reason why I am staying with the provider."
Tahar is always finding me best deal…,Tahar is always finding me best deal and today as I need a laptop for my son he offered me s24 and I can claim free samsung laptop chromebook go I am so happy.
Rick h,Good service and polite
Great experience friendly staff,Great experience friendly staff
Amadeo in the Tunbridge Wells branch…,Amadeo in the Tunbridge Wells branch was extremely helpful.
really helpful customer service from anil,"really helpful customer service fromanil in store today, quick and easy upgrade."
Cristian was very helpful and kind…,Cristian was very helpful and kind hearted lad. I wish him all the bewat with Vodafone
Helpful and friendly,"Lucy was extremely helpful and thorough, and willing to take as long as I needed to get things sorted. Warm and friendly manner."
Excellent service in Slough store by…,Excellent service in Slough store by Saf and Aneeza
Efficient & friendly service,"Efficient, friendly & helpful"
Thank you Leon!,Thank you Leon at the Wilmslow branch for all your effort and advice in purchasing my new phone. Amazing customer service.
Friendly & very helpful,"Glenn was very friendly & helpful today while I was setting up a new contact,  he explained everything very well & advised me on what was the best deal for me today."
Excellent help and very technically…,Excellent help and very technically competent. ThankyouAndreea
Dane was Friendly helpful service,Dane was Friendly helpful service
Had a very good experience today in the…,Had a very good experience today in the vodaphone shop Jacob who was very professional and knowledgeable
good goodgood,good goodgood，sunny，Karen，very friendly very good
Kate in Arndale Luton is very helpful,Kate in Arndale Luton is very helpful. We  had an additional plan sorted today 🥳
Lexi was very professional and helpful…,Lexi was very professional and helpful thank you
Luana was great,"Luana was great, detailed and efficient"
Excellent costumer service,Excellent costumer service. We made the mistake of choosing a wrong phone which was iPhone 15 + instead of iPhone 15 pro. It was easily amended and sorted for us by Lucas and Paul.
Excellent service very helpful very…,Excellent service very helpful very happy will the upgrade on broadband.
came to upgrade today as dropped my…,"came to upgrade today as dropped my phone in water, good service from taya with getting it all sorted and im happy with my new phone. would recommemd taya"
Ethan was amazing and so helpful,Ethan was amazing and so helpful
Adam is a very polite,"Adam is a very polite, lovely and helpful employee much appreciated"
Served by jess,"Served by jess, lovwly young lady who transferred all my data quickly. Highly recommend this store"
I would give this company negative…,I would give this company negative stars but that is unfortunately not an option if you want to get ripped off then do business with this company.They stopped my service during my contract and expect me to pay them for a service they are no longer giving me. If anyone is thinking of getting a contract with this company I would suggest not to as they will stop whatever service your getting 3 to 4 months before the end of your contract and charge you 346 when you won't pay for a service they won't give you anymore.
Vodafone has always been the best…,Vodafone has always been the best service and coverage for my area but the broadband they offer is top class too!
Couldn’t be better,"I don’t really do reviews but the people in the East Dereham shop were outstanding! I had to return a phone and the Voda/Voxi online people  had absolutely messed the return up leaving me no alternative than to, reluctantly, visit a shop. Because of what the online people had done the shop staff struggled but after some time and some calls they were eventually able to take the phone back - for which I was very grateful. To be honest if I’d had the slightest inkling of what a complete mess the webchat / twitter / Facebook people would make of a simple return I’d have avoided them and gone straight to the East Dereham shop. (Voda have replied and said “We're glad you had such a positive experience with us”. I couldn’t have had a worse experience with the online side of Voda / Voxi. However the service from the shop was certainly positive.)"
Shocking treatment of my 80 year old…,"Shocking treatment of my 80 year old mother who is not tech-savvy. Sending her from pillar to post, expecting her to travel from home to the nearest Vodafone shop to speak to staff who have previously refused to help, referring her back to Vodafone HQ.When you're 80 and your phone appears dead and you're dealing with Vodafone who are telling you access PAC numbers sent by text to a dead phone what are you supposed to do? The Windsor shop won't help. They didn't even think to take the sim from the dead phone and put it in a working phone to access the information Vodafone HQ claim they have texted. To add insult to injury, as Vodafone shops are franchises, they (the shop in Windsor) won't speak to Vodafone HQ in order to assist my mother, even when she's standing in the store. No wonder Windsor Vodafone has a review score of 2.3/5.I'm disgusted by the failure of this mobile giant and its franchises to support customers who don't have laptops and struggle with doing more than making calls - vulnerable customers who have a mobile for emergencies but, of course, don't spend money on data so aren't of interest. Shame on you VODAFONE for your indifference to her plight. If this wasn't enough, she's told me tonight she doesn't want to be in this world when everything is so difficult for her. The way you have treated her over the last 24-48 hours is largely responsible for the depths of despair she is in.Can I suggest you read your published 'Supporting Vulnerable Customers' charter and reflect on how you could have done things differently?"
Great staff really helpful,Thea advised me on what was most appropriate to meet my needs. She was friendly and very approachable.
I've used Vodafone for over a decade as…,"I've used Vodafone for over a decade as it was the best coverage for this area (Argyll) when I moved here. Two days with no signal, and I only know it's 'maintenance' because I had to call voda using my dusted off landline.....adding £5 to my bt bill (and losing 2 days of mobile credit). I usually have full bars at home. Network is still down and at first it cut off mid way during a GP call, I've a DAT scan tomorrow.....so annoyed at voda, I've bought an EE sim instead."
We always prefer going in store for a…,"We always prefer going in store for a more personal service.  We remembered Charlotte renewed my son’s contract 4 years ago & was pleased to see her still in store as she’s so helpful & knowledgeable providing us with the best deal available.  My son did consider getting a new contact elsewhere but with the trade in option explained to us he decided to stay with Vodafone as his contract remained competitive.  Charlotte was as helpful as ever, great asset to the Vodafone team."
Chris was very personable,"Chris was very personable and informative, he gave us all of the information on 4 different phones, this allowed us to choose the one right for me, he was very patient and polite."
Excellent customer service from Saarah,"Excellent customer service from Saarah who guided me through the triple upgrade of account type, device and airtime plan. At each stage she was patient, courteous, knowledgeable and explained everything in a language I could understand."
Very polite staff very helpful young woman,"I went to go solve a problem with my new upgrade from Sunday, I was approach with a gentle greeting and was noticed instantly the lovely lady viki helped me go through my plan and execute every possible idea and reassuring about my account and that everything is correct just the amount of days for everything to settle in the discussed plan"
great service.,great service.
Upgrade,Went into Vodafone shop Ipswich to upgrade phone. Had fantastic service from Jay and Kamila. Were very patient and listened to and answered all my questions. Both very helpful.
Upgrade.,Visited Ipswich Vodafone shop to upgrade my phone and had excellent experience by a very helpful Jay and Kamila.                  A most pleasant visit.
Adam was most helpful,Adam was most helpful. Hope he enjoyed his well deserved kebab and day off tomorrow. Oh and buy the lad a decent chair!
Brilliant service from Vinnie,"Brilliant service, friendly approach, and a lovely new phone. Good banter too!"
Something not rigth with online place orders,"I tried to switch my broadband from my provider to Vodafone and I did this online, I gave my details, bank details, and card number, and I submitted my order online, they sent me the contract to my email and my order didn't go through, I contacted customer service and they want me to do everything again and give my details to the customer service. I refused, to give again my details and bank account details and now they said that my name doesn't appear on their system. Should I have to worry? will they set a direct debit when I do not appear on their system?"
Not satisfied,"I am writing to express my dissatisfaction with Vodafone's 5G Internet service. Despite your claims of high-speed and reliable connectivity, my experience has been quite the opposite. The 5G signal is often weak or nonexistent, leading to frequent disconnections and slow internet speeds. This has severely impacted my ability to work from home and stream content seamlessly. I urge Vodafone to address these issues promptly and improve the quality of its 5G network to meet customer expectations."
Ruin my chances of mortgage,"Ruining my chances of getting a mortgage due to total mishandling of my account.Vodafone opened 2 accounts for me, one is the one they deem as my main account, the other is the one I knew nothing of and that they sent to a debt collection agency. Now I have paid all debts 5 weeks ago they are unable to see the two accounts are linked. My case has been escalated and now Vodafone are refusing to let me speak to anyone about my case. They said in 24 hours I should get a call. Nothing. I call after 48 hours, they refuse again, saying I need to wait 3-5 days for someone to call. A total shambles! I am being passed from pillar to post and nobody will help sort the mistake Vodafone made in the first place. I am waiting on this so I can get a mortgage and may lose my first house due to their incompetence. I have a baby on the way and this company is ruining my life."
I had issues with getting a new line…,"I had issues with getting a new line set up  by phone, which failed twice, both times on the suppliers end. So, I decided to go into the shop, the rep that dealt with my enquire was nothing but superb, made me feel at complete ease and very comfortable, he made my whole experience worth the visit"
I had issues with my sim Gemima was…,I had issues with my sim Gemima was very patient and helpful. I wish i could give her a 10!
Tausifur is our guy always do our…,Tausifur is our guy always do our upgrades with him
Taylor was very talkative and helped me…,"Taylor was very talkative and helped me understand everything I need to know about my device. We also had a chat about my favourite shows which he also liked the same show, we got along very well while we waited for processing. Great guy ((: And Great service"
Katie was fantastic,Katie was fantastic. Very helpful and knowledgeable.  I felt l was I was in good hands with her. I left very happy leaving with my new phone in hand. I would definitely visit here again.
Peckham I always helpful,"Peckham I always helpful, thank you for help me and my family today. Ivanovtch thank you for help us today."
Recently picked up my phone from…,"Recently picked up my phone from Vodaphone portsmouth, Was served by ashley and he was great 10/10 customer service! People like Ashley make Vodafone great!"
Save money with Vodafone,Served by a great guy called Chris. He ensured I got the best deal for my phone and broadband and I saved £123. I hadn’t realised if you have an entertainments package on your phone you get Amazon prime free. I already had prime with Amazon so I cancelled the payment on it and took up again with Vodafone for free. Great result.
Nathan was great help for me securing…,"Nathan was great help for me securing my new phone, gave great advice and got me exactly what i was looking for"
VERY PROFESSIONAL AND FRIENDLY,This is my first time visiting this branch and their customer service is GREAT
Really helpful and great service.,Really helpful and great service.
Thieves and useless,Thieves and useless. After many times contacting vodafone they don’t do nothing but rob you. Tried taking out a broadband from them and then 7months later they still couldn’t install it. I ended up telling them to just cancel it because every week they were telling me we will come next week then two weeks and just kept delaying it. Fast forward to now IVE BEEN GETTING CHARGED SINCE without them telling me and they said i’m not eligible for compensation. They have everything saying i’ve cancelled it and now telling me there’s no evidence so i’m not eligible for compensation how ridiculous. After loads of calls still nothing they still won’t cancel. IM NOT EVEN USING IT AND DONT EVEN HAVE THE BOX!!? It’s stupid pathetic and unprofessional.
Great service from.the boys in store,Great service from.the boys in store. Especially Jay
Waqar was really helpful to us.,Waqar was really helpful to us.Nice gentleman
The staff at Walworth Road shop have…,The staff at Walworth Road shop have been very helpful to me today. I've set up a new contract.
Mark was very helpful during my…,"Mark was very helpful during my experience at Vodafone, great customer service ."
Staff were so helpful,Staff were so helpful
Leah was really helpful,"Leah was really helpful,  sorted out our new contracts with great prices 👍"
Newry Vodafone N i…,"Can I just say that Adele and Rodney in Newry were outstanding in the efforts that they went to to help me get a long standing problem  sorted and I would recommend them every time  very helpful , patient, and courteous and understanding thank you Newry Vodaphone Ni"
Went to the Vodafone store today I'm…,Went to the Vodafone store today I'm bognor regis was served by a nice lad Vydmantas explained everything about my contract and it was a very quick experience.
Exceptional careful kind service from…,Exceptional careful kind service from Taz.
Fantastic Service,Very friendly helpful member of staff.
Nice experience Dimala was very helpful…,Nice experience Dimala was very helpful and pleasant
Came in today and saw Ryhan with…,Came in today and saw Ryhan with regards to a phone upgrade.  He went above and beyond with being super helpful and talking me through everything I need to know. Thank you!!
Nazim was very helpful,Nazim was very helpful. Deal met all my needs and was well explained. Thank you.
Excellent service,"Had an excellent experience in Vodaphone mansfield today, the staff seemed very knowledgeable on the services Vodaphone offers and were extremely helpful with swapping providers and the use of the trade in service.The young guy, Theo i believe his name was, was extremely help when i mentioned how much i wanted a plan with eu roaming included. Would definitely recommend vodaphone mansfield."
Very knowledgeable and helpful credit…,Very knowledgeable and helpful credit to store
Tom D,Tom D Easy and fast. Sorted everything for me.
Very forceful and forward when trying…,Very forceful and forward when trying to sell me home broadband I came into enquire but the colleague kept saying just take it now you can cancel closer to the time it just seemed all unethical to me. Will not visit Vodafone again
Went in looking for a good deal on a…,"Went in looking for a good deal on a new phone and iPad, greeted by Harry! What a legend! So helpful and happy! Highly recommend his service if you ever go in!"
Jodie has been great today helping me…,Jodie has been great today helping me with new sims and phones for my business. Great customer service.
